name,City,Country,Latitude,Longitude,awardYear,category,motivation,prizeAmount,birthYear,birthMonth,birthDay
Albert Camus,Mondovi,French Algeria,44.395064,7.819452,1957,Literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",208629,1913,11,7
Albert Claude,Longlier,Belgium,50.940814625,3.913159125,1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell,550000,1898,8,24
Albert Einstein,Ulm,Germany,48.401072,9.987585,1921,Physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",121573,1879,3,14
Albert Fert,Carcassonne,France,43.215833,2.351389,2007,Physics,for the discovery of Giant Magnetoresistance,10000000,1938,3,7
Charles Albert Gobat,Tramelan,Switzerland,47.223333,7.101389,1902,Peace,for his eminently practical administration of the Inter-Parliamentary Union,141847,1843,5,21
Albert John Lutuli,Bulawayo,Southern Rhodesia,-20.166667,28.566667,1960,Peace,for his non-violent struggle against apartheid,225987,1898,0,0
Albert Schweitzer,Kaysersberg,Germany,48.139167,7.260833,1952,Peace,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",171135,1875,1,14
Albert von Szent-Györgyi Nagyrápolt,Budapest,Austria-Hungary,47.497799,19.038285,1937,Physiology or Medicine,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",158463,1893,9,16
Albrecht Kossel,Rostock,Mecklenburg,54.083333,12.133333,1910,Physiology or Medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",140703,1853,9,16
Aleksandr Mikhailovich Prokhorov,Atherton,Australia,-17.265556,145.474167,1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",273000,1916,7,11
Aleksey Yekimov ,Leningrad,USSR,59.956651,30.333547,2023,Chemistry,for the discovery and synthesis of quantum dots,11000000,1945,0,0
Ales Bialiatski ,"Vyartsilya, Karelia",Russia,62.176944,30.697222,2022,Peace,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",10000000,1962,9,25
Aleksandr Isayevich Solzhenitsyn,Kislovodsk,Russia,43.906977,42.715772,1970,Literature,for the ethical force with which he has pursued the indispensable traditions of Russian literature,400000,1918,12,11
Alexei Alexeyevich Abrikosov,Moscow,USSR,55.741387,37.618892,2003,Physics,for pioneering contributions to the theory of superconductors and superfluids,10000000,1928,6,25
Alexis Carrel,Sainte-Foy-lès-Lyon,France,45.733611,4.8025,1912,Physiology or Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,140476,1873,6,28
Alfonso García Robles,Zamora,Mexico,19.983333,-102.283333,1982,Peace,for their work for disarmament and nuclear and weapon-free zones,1150000,1911,3,20
Alfred D. Hershey,"Owosso, MI",USA,42.997778,-84.176667,1969,Physiology or Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses,375000,1908,12,4
Alfred Hermann Fried,Vienna,Austria,48.207646,16.372793,1911,Peace,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",140695,1864,11,11
Alfred G. Gilman,"New Haven, CT",USA,41.307802,-72.932531,1994,Physiology or Medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,7000000,1941,7,1
Alfred Kastler,Guebwiller,Germany,47.9075,7.210278,1966,Physics,for the discovery and development of optical methods for studying Hertzian resonances in atoms,300000,1902,5,3
Alfred Werner,Mulhouse,France,47.75096,7.335412,1913,Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,143010,1866,12,12
Alice Munro,Wingham,Canada,43.8875,-81.310278,2013,Literature,master of the contemporary short story,8000000,1931,7,10
Allan M. Cormack,Johannesburg,South Africa,-26.205387,28.045515,1979,Physiology or Medicine,for the development of computer assisted tomography,800000,1924,2,23
Allvar Gullstrand,Landskrona,Sweden,55.879416,12.837004,1911,Physiology or Medicine,for his work on the dioptrics of the eye,140695,1862,6,5
Charles Louis Alphonse Laveran,Paris,France,48.860093,2.355954,1907,Physiology or Medicine,in recognition of his work on the role played by protozoa in causing diseases,138796,1845,6,18
Alva Myrdal,Uppsala,Sweden,59.858503,17.638748,1982,Peace,for their work for disarmament and nuclear and weapon-free zones,1150000,1902,1,31
Alvin E. Roth,"New York, NY",USA,40.715758,-74.0113,2012,Economic Sciences,for the theory of stable allocations and the practice of market design,8000000,1951,12,18
Amartya Sen,Santiniketan,India,23.68,87.68,1998,Economic Sciences,for his contributions to welfare economics,7600000,1933,11,3
Anatole France,Paris,France,48.860093,2.355954,1921,Literature,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",121573,1844,4,16
André Frédéric Cournand,Paris,France,48.860093,2.355954,1956,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,200123,1895,9,24
Andre Geim,Sochi,Russia,43.585484,39.72311,2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene,10000000,1958,10,21
André Paul Guillaume Gide,Paris,France,48.860093,2.355954,1947,Literature,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",146115,1869,11,22
André Lwoff,Ainay-le-Château,France,46.711389,2.6925,1965,Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,282000,1902,5,8
Andrea Ghez,"New York, NY",USA,40.715758,-74.0113,2020,Physics,for the discovery of a supermassive compact object at the centre of our galaxy,10000000,1965,6,16
Andrei Dmitrievich Sakharov,Moscow,Russia,55.741387,37.618892,1975,Peace,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",630000,1921,5,21
Andrew Fielding Huxley,Hampstead,United Kingdom,51.554167,-0.174444,1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,265000,1917,11,22
Andrew V. Schally,Wilno,Poland,54.687046,25.282911,1977,Physiology or Medicine,for their discoveries concerning the peptide hormone production of the brain,700000,1926,11,30
Andrew Z. Fire,"Stanford, CA",USA,37.424734,-122.163858,2006,Physiology or Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,10000000,1959,4,27
Angus Deaton,Edinburgh,Scotland,55.955709,-3.207405,2015,Economic Sciences,"for his analysis of consumption, poverty, and welfare",8000000,1945,10,19
Anne L’Huillier,Paris,France,48.860093,2.355954,2023,Physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,11000000,1958,8,16
Annie Ernaux,Lillebonne,France,49.520833,0.5375,2022,Literature,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",10000000,1940,9,1
Anthony J. Leggett,London,United Kingdom,51.510235,-0.120852,2003,Physics,for pioneering contributions to the theory of superconductors and superfluids,10000000,1938,3,26
Anton Zeilinger,Ried im Innkreis,Austria,48.21,13.489444,2022,Physics,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000,1945,5,20
Antony Hewish,Fowey,United Kingdom,50.335777,-4.636595,1974,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",550000,1924,5,11
Mohamed Anwar al-Sadat,Mit Abu al-Kawm,Egypt,30.636667,30.913889,1978,Peace,for jointly having negotiated peace between Egypt and Israel in 1978,725000,1918,12,25
Archer John Porter Martin,London,United Kingdom,51.510235,-0.120852,1952,Chemistry,for their invention of partition chromatography,171135,1910,3,1
Archibald Vivian Hill,Bristol,United Kingdom,51.455112,-2.584545,1922,Physiology or Medicine,for his discovery relating to the production of heat in the muscle,122483,1886,9,26
Ardem Patapoutian,Beirut,Lebanon,33.886944,35.513056,2021,Physiology or Medicine,for their discoveries of receptors for temperature and touch,10000000,1967,0,0
Arieh Warshel,Kibbutz Sde-Nahum,British Mandate of Palestine,32.529995,35.479515,2013,Chemistry,for the development of multiscale models for complex chemical systems,8000000,1940,11,20
Aristide Briand,Nantes,France,47.217222,-1.553889,1926,Peace,for their crucial role in bringing about the Locarno Treaty,116960,1862,3,28
Arne Wilhelm Kaurin Tiselius,Stockholm,Sweden,59.325371,18.070794,1948,Chemistry,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",159773,1902,8,10
Arno Allan Penzias,Munich,Germany,48.134703,11.581995,1978,Physics,for their discovery of cosmic microwave background radiation,725000,1933,4,26
Arthur Ashkin,"New York, NY",USA,40.715758,-74.0113,2018,Physics,for the optical tweezers and their application to biological systems,9000000,1922,9,2
Arthur B. McDonald,"Sydney, Nova Scotia",Canada,46.138927,-60.193233,2015,Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",8000000,1943,8,29
Arthur Holly Compton,"Wooster, OH",USA,40.809194,-81.937194,1927,Physics,for his discovery of the effect named after him,126501,1892,9,10
Arthur Harden,Manchester,United Kingdom,53.478756,-2.245094,1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes,172760,1865,10,12
Arthur Henderson,Glasgow,Scotland,55.861111,-4.25,1934,Peace,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,162608,1863,9,13
Arthur Kornberg,"Brooklyn, NY",USA,40.676379,-73.949819,1959,Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,220678,1918,3,3
Arthur Leonard Schawlow,"Mount Vernon, NY",USA,40.914167,-73.830556,1981,Physics,for their contribution to the development of laser spectroscopy,1000000,1921,5,5
Artturi Ilmari Virtanen,Helsinki,Russian Empire,60.167874,24.958234,1945,Chemistry,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",121333,1895,1,15
Arvid Carlsson,Uppsala,Sweden,59.858503,17.638748,2000,Physiology or Medicine,for their discoveries concerning signal transduction in the nervous system,9000000,1923,1,25
Schack August Steenberg Krogh,Grenå,Denmark,56.413333,10.875833,1920,Physiology or Medicine,for his discovery of the capillary motor regulating mechanism,134100,1874,11,15
Auguste Marie François Beernaert,Ostend,Belgium,51.225833,2.919444,1909,Peace,for their prominent position in the international movement for peace and arbitration,139800,1829,7,26
Aung San Suu Kyi,Rangoon,Burma,16.647566,96.112923,1991,Peace,for her non-violent struggle for democracy and human rights,6000000,1945,6,19
Avram Hershko,Karcag,Hungary,47.315474,20.918238,2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation,10000000,1937,12,31
Aziz Sancar,Savur,Turkey,37.5375,40.889167,2015,Chemistry,for mechanistic studies of DNA repair,8000000,1946,9,8
Barack Hussein Obama,"Honolulu, HI",USA,21.304546,-157.855682,2009,Peace,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,10000000,1961,8,4
Barbara McClintock,"Hartford, CT",USA,41.763333,-72.685,1983,Physiology or Medicine,for her discovery of mobile genetic elements,1500000,1902,6,16
Barry C. Barish,"Omaha, NE",USA,41.258611,-95.9375,2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,9000000,1936,1,27
Barry J. Marshall,Kalgoorlie,Australia,-30.787453,121.459778,2005,Physiology or Medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,10000000,1951,9,30
Baruch S. Blumberg,"New York, NY",USA,40.715758,-74.0113,1976,Physiology or Medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,681000,1925,7,28
Baruj Benacerraf,Caracas,Venezuela,10.485229,-66.905482,1980,Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,880000,1920,10,29
Ben S. Bernanke,"Augusta, GA",USA,33.47,-81.975,2022,Economic Sciences,for research on banks and financial crises,10000000,1953,12,13
Ben Roy Mottelson,"Chicago, IL",USA,41.876228,-87.638416,1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,630000,1926,7,9
Bengt Holmström,Helsinki,Finland,60.167874,24.958234,2016,Economic Sciences,for their contributions to contract theory,8000000,1949,4,18
Bengt I. Samuelsson,Halmstad,Sweden,56.673985,12.857483,1982,Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances,1150000,1934,5,21
Benjamin List,Frankfurt-on-the-Main,Germany,50.107886,8.691488,2021,Chemistry,for the development of asymmetric organocatalysis,10000000,1968,1,11
Bernard L. Feringa,Barger-Compascuum,the Netherlands,52.754791,7.042117,2016,Chemistry,for the design and synthesis of molecular machines,8000000,1951,5,18
Bernardo Alberto Houssay,Buenos Aires,Argentina,-34.603443,-58.396729,1947,Physiology or Medicine,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,146115,1887,4,10
Bert Sakmann,Stuttgart,Germany,48.775924,9.182014,1991,Physiology or Medicine,for their discoveries concerning the function of single ion channels in cells,6000000,1942,6,12
"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",Prague,Austrian Empire,50.07507,14.42989,1905,Peace,for her audacity to oppose the horrors of war,138089,1843,6,9
Bertil Ohlin,Klippan,Sweden,56.134611,13.1474,1977,Economic Sciences,for their pathbreaking contribution to the theory of international trade and international capital movements,700000,1899,4,23
Bertram N. Brockhouse,"Lethbridge, Alberta",Canada,49.694167,-112.832778,1994,Physics,for the development of neutron spectroscopy,7000000,1918,7,15
Earl (Bertrand Arthur William) Russell,Trelleck,United Kingdom,51.745,-2.725556,1950,Literature,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,164304,1872,5,18
Elizabeth Williams,Belfast,Northern Ireland,54.596439,-5.930276,1976,Peace,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,681000,1943,5,22
Bjørnstjerne Martinus Bjørnson,Kvikne,Norway,62.562222,10.334722,1903,Literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",141358,1832,12,8
Bob Dylan,"Duluth, MN",USA,46.77293,-92.125122,2016,Literature,for having created new poetic expressions within the great American song tradition,8000000,1941,5,24
Boris Leonidovich Pasternak,Moscow,Russia,55.741387,37.618892,1958,Literature,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,214559,1890,2,10
Brian David Josephson,Cardiff,United Kingdom,51.484043,-3.169346,1973,Physics,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",510000,1940,1,4
Brian K. Kobilka,"Little Falls, MN",USA,45.976357,-94.362503,2012,Chemistry,for studies of G-protein-coupled receptors,8000000,1955,5,30
Brian P. Schmidt,"Missoula, MT",USA,46.870106,-113.99527,2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,10000000,1967,2,24
Bruce A. Beutler,"Chicago, IL",USA,41.876228,-87.638416,2011,Physiology or Medicine,for their discoveries concerning the activation of innate immunity,10000000,1957,12,29
Robert Bruce Merrifield,"Fort Worth, TX",USA,32.756389,-97.3325,1984,Chemistry,for his development of methodology for chemical synthesis on a solid matrix,1650000,1921,7,15
Burton Richter,"Brooklyn, NY",USA,40.676379,-73.949819,1976,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind,681000,1931,3,22
Charles Thomson Rees Wilson,Glencorse,Scotland,55.850833,-3.204167,1927,Physics,for his method of making the paths of electrically charged particles visible by condensation of vapour,126501,1869,2,14
Camillo Golgi,Corteno,Italy,46.166944,10.244444,1906,Physiology or Medicine,in recognition of their work on the structure of the nervous system,138536,1843,7,7
Camilo José Cela,Iria Flavia,Spain,42.745949,-8.655603,1989,Literature,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",3000000,1916,5,11
Carl Bosch,Cologne,Germany,50.938552,6.957702,1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods,173206,1874,8,27
Carl Ferdinand Cori,Prague,Austria-Hungary,50.07507,14.42989,1947,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen,146115,1896,12,5
Carl David Anderson,"New York, NY",USA,40.715758,-74.0113,1936,Physics,for his discovery of the positron,159850,1905,9,3
Carl Friedrich Georg Spitteler,Liestal,Switzerland,47.483889,7.735,1919,Literature,"in special appreciation of his epic, <I>Olympian Spring</I>",133127,1845,4,24
Carl von Ossietzky,Hamburg,Germany,53.548276,9.987422,1935,Peace,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,159917,1889,10,3
Carl E. Wieman,"Corvallis, OR",USA,44.564568,-123.262047,2001,Physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",10000000,1951,3,26
Carlo Rubbia,Gorizia,Italy,45.942524,13.618705,1984,Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",1650000,1934,3,31
Carlos Filipe Ximenes Belo,Wailacama,East Timor,-8.553681,125.578407,1996,Peace,for their work towards a just and peaceful solution to the conflict in East Timor,7400000,1948,2,3
Carlos Saavedra Lamas,Buenos Aires,Argentina,-34.603443,-58.396729,1936,Peace,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",159850,1878,11,1
Carol W. Greider,"San Diego, CA",USA,32.7305,-117.166696,2009,Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,10000000,1961,4,15
Carolyn R. Bertozzi,"Boston, MA",USA,42.36042,-71.05681,2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry,10000000,1966,10,10
Cecil Frank Powell,Tonbridge,United Kingdom,51.188953,0.273588,1950,Physics,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,164304,1903,12,5
César Milstein,Bahia Blanca,Argentina,-38.716667,-62.266667,1984,Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1650000,1927,10,8
Charles Brenton Huggins,"Halifax, Nova Scotia",Canada,44.647778,-63.571389,1966,Physiology or Medicine,for his discoveries concerning hormonal treatment of prostatic cancer,300000,1901,9,22
Charles Edouard Guillaume,Fleurier,Switzerland,46.9,6.583306,1920,Physics,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,134100,1861,2,15
Charles Gates Dawes,"Marietta, OH",USA,39.420611,-81.450306,1925,Peace,for his crucial role in bringing about the Dawes Plan,118165,1865,8,27
Charles Glover Barkla,Widnes,United Kingdom,53.363056,-2.728056,1917,Physics,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,133823,1877,6,7
Charles Hard Townes,"Greenville, SC",USA,34.844444,-82.385556,1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",273000,1915,7,28
Charles J. Pedersen,Pusan,Korea,35.16201,129.047056,1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,2175000,1904,10,3
Charles Kuen Kao,Shanghai,China,31.23441,121.490343,2009,Physics,for groundbreaking achievements concerning the transmission of light in fibers for optical communication,10000000,1933,11,4
Charles M. Rice,"Sacramento, CA",USA,38.58102,-121.493935,2020,Physiology or Medicine,for the discovery of Hepatitis C virus,10000000,1952,8,25
Charles Jules Henri Nicolle,Rouen,France,49.443056,1.1025,1928,Physiology or Medicine,for his work on typhus,156939,1866,9,21
Charles Robert Richet,Paris,France,48.860093,2.355954,1913,Physiology or Medicine,in recognition of his work on anaphylaxis,143010,1850,8,26
Chen Ning Yang,"Hofei, Anhwei",China,31.822809,117.221802,1957,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,208629,1922,9,22
Christiaan Eijkman,Nijkerk,the Netherlands,52.090702,5.121563,1929,Physiology or Medicine,for his discovery of the antineuritic vitamin,172760,1858,8,11
Christian B. Anfinsen,"Monessen, PA",USA,40.154194,-79.882806,1972,Chemistry,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",480000,1916,3,26
Christian de Duve,Thames Ditton,United Kingdom,51.394806,-0.341306,1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell,550000,1917,10,2
Christian Lous Lange,Stavanger,Norway,58.97,5.731389,1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism,121573,1869,9,17
Christiane Nüsslein-Volhard,Magdeburg,Germany,52.131588,11.639961,1995,Physiology or Medicine,for their discoveries concerning the genetic control of early embryonic development,7200000,1942,10,20
Christopher A. Pissarides,Nicosia,Cyprus,35.175808,33.368561,2010,Economic Sciences,for their analysis of markets with search frictions,10000000,1948,2,20
Christopher A. Sims,"Washington, D.C.",USA,38.899065,-77.036523,2011,Economic Sciences,for their empirical research on cause and effect in the macroeconomy,10000000,1942,10,21
Claude Cohen-Tannoudji,Constantine,French Algeria,36.357624,6.638807,1997,Physics,for development of methods to cool and trap atoms with laser light,7500000,1933,4,1
Claude Simon,Tananarive,Madagascar,-18.938611,47.521389,1985,Literature,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,1800000,1913,10,10
Claudia Goldin,"New York, NY",USA,40.715758,-74.0113,2023,Economic Sciences,for having advanced our understanding of women’s labour market outcomes,11000000,1946,0,0
Clifford G. Shull,"Pittsburgh, PA",USA,40.440136,-80.008661,1994,Physics,for the development of the neutron diffraction technique,7000000,1915,9,23
Clinton Joseph Davisson,"Bloomington, IL",USA,40.484167,-88.993611,1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,158463,1881,10,22
Clive W.J. Granger,Swansea,United Kingdom,51.616667,-3.95,2003,Economic Sciences,for methods of analyzing economic time series with common trends (cointegration),10000000,1934,9,4
Cordell Hull,"Olympus, TN",USA,36.566667,-85.083333,1945,Peace,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,121333,1871,10,2
Corneille Jean François Heymans,Ghent,Belgium,51.04699,3.735154,1938,Physiology or Medicine,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,155077,1892,3,28
Craig C. Mello,"New Haven, CT",USA,41.307802,-72.932531,2006,Physiology or Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,10000000,1960,10,18
Czeslaw Milosz,Śeteniai,Russian Empire,55.394722,24.032778,1980,Literature,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,880000,1911,6,30
D. Carleton Gajdusek,"Yonkers, NY",USA,40.941389,-73.864444,1976,Physiology or Medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,681000,1923,9,9
Dag Hjalmar Agne Carl Hammarskjöld,Jönköping,Sweden,57.78145,14.15618,1961,Peace,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",250233,1905,7,29
Dale T. Mortensen,"Enterprise, OR",USA,45.424167,-117.276944,2010,Economic Sciences,for their analysis of markets with search frictions,10000000,1939,2,2
Dan Shechtman,Tel Aviv,British Mandate of Palestine,32.085996,34.781915,2011,Chemistry,for the discovery of quasicrystals,10000000,1941,1,24
Daniel Bovet,Neuchâtel,Switzerland,46.99014,6.929775,1957,Physiology or Medicine,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",208629,1907,3,23
Daniel C. Tsui,Henan,China,33.9,113.5,1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,7600000,1939,2,28
Daniel Kahneman,Tel Aviv,British Mandate of Palestine,32.085996,34.781915,2002,Economic Sciences,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty",10000000,1934,3,5
Daniel L. McFadden,"Raleigh, NC",USA,35.780399,-78.639099,2000,Economic Sciences,for his development of theory and methods for analyzing discrete choice,9000000,1937,7,29
